Rk,Player,Age,Team,Lg,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos,Awards,Player-additional
135,Trent Grisham,29,NYY,AL,0.9,66,264,224,40,52,11,2,8,35,6,1,38,42,0.232,0.341,0.406,0.747,108,0.342,111,91,4,0,0,2,0,*8/H,,grishtr01
136,Juan Soto,27,NYM,NL,2.3,62,264,224,36,67,7,1,17,38,6,3,38,34,0.299,0.399,0.567,0.966,167,0.408,164,127,3,0,0,1,6,7D,,sotoju01
137,Ildemaro Vargas,34,ARI,NL,1.2,70,264,245,38,64,11,2,7,44,1,0,14,24,0.261,0.305,0.408,0.714,96,0.323,99,100,3,2,1,1,2,34/H5D716,,vargail01
138,Sal Frelick,26,MIL,NL,-0.4,73,262,228,28,53,11,0,3,29,5,2,23,25,0.232,0.302,0.32,0.622,73,0.289,73,73,4,1,1,3,1,*9H/D,,frelisa01
139,George Springer,36,TOR,AL,-0.1,59,262,228,26,50,11,0,8,21,6,2,27,50,0.219,0.309,0.373,0.682,85,0.314,87,85,5,3,0,1,0,*D/H,,springe01
140,Aaron Judge,34,NYY,AL,2.1,59,261,214,43,53,10,0,17,38,5,3,42,72,0.248,0.375,0.533,0.907,150,0.393,151,114,8,2,0,1,5,9/D,,judgeaa01
141,Jeff McNeil,34,ATH,AL,-0.2,74,260,232,21,55,10,0,3,20,1,2,21,35,0.237,0.309,0.319,0.628,72,0.284,70,74,6,4,1,2,1,*4/H395,,mcneije01
142,Jacob Young,26,WSN,NL,0.8,77,260,243,31,55,8,2,8,30,8,2,12,49,0.226,0.274,0.374,0.649,81,0.302,85,91,4,4,1,0,0,*8/HD,,youngja03
143,Adolis García,33,PHI,NL,-0.7,67,259,231,21,45,8,1,7,21,3,0,21,84,0.195,0.27,0.329,0.599,63,0.272,57,76,2,4,0,3,0,*9/H8,,garciad02
144,Luis García Jr.,26,WSN,NL,1,75,259,247,34,65,12,3,13,49,2,1,11,41,0.263,0.293,0.494,0.787,117,0.343,117,122,5,0,0,1,0,*3H/D,,garcilu04
145,Jose Altuve,36,HOU,AL,0,60,257,230,36,54,12,0,8,21,1,2,24,58,0.235,0.309,0.391,0.7,94,0.315,97,90,10,1,1,1,1,*4/D,,altuvjo01
146,Gavin Sheets,30,SDP,NL,0.2,73,257,228,29,51,13,0,12,33,4,0,27,61,0.224,0.311,0.439,0.75,108,0.331,105,100,6,2,0,0,0,37D/H9,,sheetga01
147,Jorge Soler,34,LAA,AL,0.2,61,256,223,30,49,10,1,11,37,0,0,25,81,0.22,0.305,0.422,0.726,103,0.325,105,94,7,4,0,4,0,D/9H,,solerjo01
148,Caleb Durbin,26,BOS,AL,1.4,72,255,232,27,52,16,1,6,32,7,3,15,36,0.224,0.281,0.379,0.66,86,0.293,83,88,6,4,2,2,0,*5/H,,durbica01
149,Daulton Varsho,29,TOR,AL,1.5,68,255,229,31,61,15,2,7,22,7,0,23,50,0.266,0.337,0.441,0.778,110,0.347,107,101,1,2,0,1,2,*8/HD,,varshda01
150,Kyle Karros,23,COL,NL,0.6,76,254,221,35,55,13,1,4,21,2,0,30,54,0.249,0.339,0.371,0.71,89,0.326,91,82,2,1,0,2,0,*5/H,,karroky01
151,Kyle Manzardo,25,CLE,AL,0.7,71,253,219,26,51,7,1,9,27,0,0,28,80,0.233,0.328,0.397,0.725,104,0.323,103,87,4,4,0,2,0,*3DH,,manzaky01
152,Joc Pederson,34,TEX,AL,1.3,76,253,214,32,53,7,2,12,28,0,0,32,52,0.248,0.349,0.467,0.816,137,0.359,138,100,8,3,0,3,1,*DH/39,,pederjo01
153,Leody Taveras,27,BAL,AL,0.8,70,252,219,30,56,10,5,2,30,9,2,24,60,0.256,0.331,0.374,0.705,99,0.324,100,82,2,1,7,1,0,*89/H5,,taverle01
154,Drake Baldwin,25,ATL,NL,1.8,56,249,220,42,59,6,0,14,39,1,1,24,63,0.268,0.349,0.486,0.836,134,0.365,134,107,7,4,0,1,1,2D/H,,baldwdr01
155,Samuel Basallo,21,BAL,AL,1.5,68,249,226,29,58,9,1,12,35,0,0,21,65,0.257,0.317,0.465,0.782,117,0.342,116,105,4,0,0,2,1,2DH/3,,basalsa01
156,Garrett Mitchell,27,MIL,NL,1,68,249,214,32,53,14,2,5,34,6,5,31,85,0.248,0.347,0.402,0.749,107,0.324,103,86,2,2,1,1,1,*8/HD,,mitchga01
157,Austin Martin,27,MIN,AL,0.9,73,248,211,29,51,11,0,2,17,8,5,31,45,0.242,0.351,0.322,0.673,89,0.32,98,68,4,5,0,1,0,*97H/8,,martiau01
158,Oswald Peraza,26,LAA,AL,1.9,73,247,231,23,59,11,2,7,21,9,2,9,69,0.255,0.301,0.411,0.712,99,0.331,106,95,4,6,1,0,0,45H/6D3,,perazos02
159,Jose Caballero,29,NYY,AL,1.3,68,246,224,31,58,10,0,8,28,18,7,15,50,0.259,0.317,0.411,0.728,102,0.329,102,92,8,5,0,2,0,6/7594H8D,,cabaljo01
160,Munetaka Murakami,26,CHW,AL,2,57,246,200,43,48,4,0,20,41,1,3,44,80,0.24,0.378,0.56,0.938,159,0.391,153,112,2,1,0,1,4,3/DH,,murakmu01
161,Justin Crawford,22,PHI,NL,-0.4,75,244,226,22,55,11,2,2,16,9,3,16,52,0.243,0.299,0.336,0.635,73,0.29,70,76,1,2,0,0,0,*8/H,,crawfju01
162,Sam Antonacci,23,CHW,AL,1.5,61,243,206,37,59,10,2,4,22,11,4,18,37,0.286,0.386,0.413,0.799,125,0.378,138,85,1,16,2,1,0,*74/H,,antonsa01
163,Andrew Benintendi,31,CHW,AL,-0.3,71,243,220,30,51,10,2,9,38,1,0,19,63,0.232,0.289,0.418,0.707,96,0.311,92,92,3,0,1,3,0,*DH/79,,beninan01
164,Angel Martínez,24,CLE,AL,0.6,66,243,226,28,54,11,1,11,33,9,2,7,53,0.239,0.276,0.442,0.719,99,0.32,97,100,5,5,4,1,0,*79/8H,,martian02
165,Kyle Stowers,28,MIA,NL,0.2,57,240,210,25,47,14,2,8,29,1,1,23,75,0.224,0.314,0.424,0.738,107,0.325,107,89,6,5,1,1,2,793/DH,,stoweky01
166,Curtis Mead,25,WSN,NL,1.1,66,237,206,36,46,10,0,14,39,3,2,27,44,0.223,0.325,0.476,0.801,122,0.35,123,98,6,4,0,0,0,35H/4D,,meadcu01
167,Ronald Acuña Jr.,28,ATL,NL,0.9,53,236,195,31,49,10,1,7,22,15,7,35,52,0.251,0.373,0.421,0.793,124,0.355,127,82,0,4,0,2,2,9/D,,acunaro01
168,Trevor Larnach,29,MIN,AL,0.9,66,236,203,35,56,12,1,5,24,2,1,29,44,0.276,0.374,0.419,0.793,120,0.36,125,85,6,3,1,0,1,*7H/D,,larnatr01
169,Mark Vientos,26,NYM,NL,-0.8,67,235,221,24,48,9,0,10,33,0,0,10,54,0.217,0.255,0.394,0.649,79,0.279,70,87,10,2,0,2,0,*3H/D5,,vientma01
170,Jake McCarthy,28,COL,NL,0.3,66,234,213,27,63,13,4,5,32,12,3,14,43,0.296,0.338,0.465,0.802,111,0.353,107,99,3,1,3,3,0,*879/HD,,mccarja02
171,Rhys Hoskins,33,CLE,AL,-0.6,65,233,189,25,33,12,0,7,27,0,0,37,71,0.175,0.313,0.349,0.663,87,0.305,90,66,3,3,0,4,0,3DH/7,,hoskirh01
172,Connor Norby,26,MIA,NL,-0.2,65,233,200,17,41,12,0,4,16,6,3,24,70,0.205,0.313,0.325,0.638,82,0.295,85,65,5,8,0,1,0,35D/H,,norbyco01
173,Jesus Sanchez,28,TOR,AL,-0.3,72,232,213,22,59,14,0,7,29,1,1,10,51,0.277,0.319,0.441,0.76,105,0.327,98,94,4,5,0,4,1,*97H/D,,sanchje02
174,Colt Keith,24,DET,AL,0.1,73,230,215,28,54,8,2,4,17,4,0,11,45,0.251,0.296,0.363,0.658,82,0.296,76,78,4,3,0,1,0,5DH/3,,keithco01
175,Evan Carter,23,TEX,AL,1.4,66,229,193,26,34,6,2,6,21,10,0,29,54,0.176,0.292,0.321,0.613,80,0.29,82,62,0,3,3,1,0,*8/H,,carteev01
176,Nolan Gorman,26,STL,NL,-0.3,62,229,201,19,39,4,0,7,26,0,1,25,74,0.194,0.279,0.318,0.598,70,0.264,64,64,1,0,0,3,2,5D/H,,gormano01
177,Zack Gelof,26,ATH,AL,2.2,62,228,209,40,59,10,1,11,29,8,1,14,55,0.282,0.336,0.498,0.834,124,0.382,132,104,5,3,2,0,0,584/H9,,gelofza01
178,Marcelo Mayer,23,BOS,AL,0,70,228,205,19,45,10,0,3,22,3,0,16,44,0.22,0.282,0.312,0.594,69,0.278,70,64,5,3,0,3,0,46/H,,mayerma01
179,Adley Rutschman,28,BAL,AL,1.6,54,228,201,26,51,15,1,8,40,0,1,23,33,0.254,0.329,0.458,0.787,119,0.344,119,92,5,1,0,3,0,2D/H,,rutscad01
180,Daniel Schneemann,29,CLE,AL,1.1,65,227,206,24,43,9,0,6,26,4,2,21,68,0.209,0.282,0.34,0.622,74,0.282,74,70,5,0,0,0,0,854H/69,,schneda04
181,Victor Caratini,32,MIN,AL,0,59,222,186,19,45,6,0,6,30,0,0,21,42,0.242,0.333,0.371,0.704,95,0.323,98,69,4,8,0,7,0,23/HD,,caratvi01
182,Luke Raley,31,SEA,AL,0.3,71,222,202,25,48,7,1,14,35,1,1,12,72,0.238,0.3,0.49,0.79,122,0.342,121,99,0,6,2,0,1,*9H/7D8,,raleylu01
183,Marcell Ozuna,35,PIT,NL,-0.8,54,221,199,16,40,5,0,6,25,0,0,20,65,0.201,0.281,0.317,0.597,65,0.277,65,63,4,2,0,0,1,D/H,,ozunama01
184,Lawrence Butler,25,ATH,AL,-1.2,73,220,198,28,39,7,0,5,21,6,3,22,59,0.197,0.277,0.308,0.585,60,0.272,59,61,3,0,0,0,1,*98H/D,,butlela01
185,Coby Mayo,24,BAL,AL,-0.8,64,220,201,27,38,7,0,10,30,1,0,16,74,0.189,0.255,0.373,0.628,74,0.281,72,75,3,2,0,1,0,5/D3H,,mayoco01
186,Tristan Peters,26,CHW,AL,2,75,220,196,25,56,17,2,3,24,4,2,16,40,0.286,0.347,0.439,0.786,119,0.347,119,86,0,3,4,1,0,*89/H7,,petertr01
187,JJ Bleday,28,CIN,NL,1.2,51,219,185,28,45,11,1,13,35,2,2,29,43,0.243,0.349,0.524,0.873,136,0.378,138,97,3,2,0,2,1,7/D9H,,bledajj01
188,Matt Vierling,29,DET,AL,-1.1,68,219,198,17,40,11,1,5,27,2,2,17,36,0.202,0.26,0.343,0.604,66,0.263,58,68,4,0,0,4,0,*8H/97,,vierlma01
189,Cal Raleigh,29,SEA,AL,-0.3,50,218,191,18,32,5,0,8,21,2,1,25,68,0.168,0.261,0.319,0.581,66,0.262,64,61,4,0,0,2,0,2D/H,,raleica01
190,Owen Caissie,23,MIA,NL,-0.3,69,217,193,24,44,11,0,9,43,4,1,16,85,0.228,0.286,0.425,0.711,99,0.316,98,82,2,2,0,6,0,*9/HD,,caissow01
191,Tyler Stephenson,29,CIN,NL,0.4,62,217,189,15,40,7,0,6,22,0,1,26,57,0.212,0.304,0.344,0.648,78,0.294,77,65,4,0,0,2,0,*2/H,,stephty01
192,Mike Yastrzemski,35,ATL,NL,0.5,71,217,193,27,44,9,1,4,19,1,0,20,54,0.228,0.313,0.347,0.661,87,0.303,89,67,1,4,0,0,0,*79H/8D,,yastrmi01
193,Paul Goldschmidt,38,NYY,AL,1.8,55,216,196,31,59,9,1,14,40,1,0,16,44,0.301,0.361,0.571,0.933,156,0.399,153,112,2,3,0,1,0,3D/H,,goldspa01
194,Taylor Walls,29,TBR,AL,1.7,61,215,179,29,40,9,2,0,18,12,2,26,54,0.223,0.325,0.296,0.621,74,0.3,75,53,2,2,6,2,0,*6/H,,wallsta01
195,David Hamilton,28,MIL,NL,0.8,65,214,184,31,42,5,1,3,12,16,5,20,50,0.228,0.307,0.315,0.623,73,0.289,69,58,1,1,8,0,0,56/4H,,hamilda03
196,Jacob Wilson,24,ATH,AL,0.2,50,214,202,23,56,10,0,4,26,2,0,10,25,0.277,0.31,0.386,0.696,89,0.321,92,78,4,0,1,1,0,6,,wilsoja05
197,Travis Bazzana,23,CLE,AL,1.5,50,213,184,24,48,11,1,7,24,12,3,26,43,0.261,0.357,0.446,0.802,125,0.362,125,82,0,2,0,1,1,4/DH,,bazzatr01
198,Edouard Julien,27,COL,NL,-0.8,68,211,184,23,41,5,1,2,17,4,3,26,57,0.223,0.322,0.293,0.616,66,0.288,67,54,6,1,0,0,0,4H3/D,,julieed01
199,J.T. Realmuto,35,PHI,NL,0.3,56,211,187,21,38,8,0,5,24,3,0,17,41,0.203,0.284,0.326,0.611,66,0.281,63,61,3,5,0,2,0,*2,,realmjt01
200,Gabriel Moreno,26,ARI,NL,2.1,53,210,180,26,50,12,0,6,26,4,1,23,35,0.278,0.362,0.444,0.806,123,0.364,127,80,3,3,0,4,0,2/DH,,morenga01
201,Carson Kelly,31,CHC,NL,1.5,59,209,185,30,52,9,0,4,29,0,0,21,34,0.281,0.364,0.395,0.758,118,0.351,127,73,4,3,0,0,0,2/H3D1,,kellyca02
202,Luis Rengifo,29,MIL,NL,-0.4,57,209,185,19,38,9,0,0,19,3,2,19,24,0.205,0.28,0.254,0.534,50,0.247,44,47,2,1,2,2,1,5H/34D,,rengilu01
203,Corey Seager,32,TEX,AL,0.8,48,209,180,26,33,6,0,9,24,1,0,25,54,0.183,0.287,0.367,0.654,91,0.29,88,66,6,2,0,2,2,6,,seageco01
204,Konnor Griffin,20,PIT,NL,1.5,51,208,189,30,51,9,2,4,22,14,1,14,56,0.27,0.327,0.402,0.729,100,0.336,97,76,2,3,0,2,0,6/DH,,griffko01
205,Carlos Cortes,29,ATH,AL,0.2,62,206,181,17,50,9,1,6,22,1,0,21,23,0.276,0.359,0.436,0.796,116,0.353,115,79,8,3,0,1,0,9DH/71,,corteca01
206,Ramón Laureano,31,SDP,NL,0,53,206,182,23,37,6,2,7,21,7,2,20,65,0.203,0.286,0.374,0.66,84,0.293,78,68,1,2,0,2,0,7/9HD,,laurera01
207,Lane Thomas,30,KCR,AL,0,67,206,173,19,38,7,0,5,22,3,3,29,43,0.22,0.335,0.347,0.682,94,0.307,95,60,3,2,0,2,0,*89H7/D,,thomala02
208,Christian Yelich,34,MIL,NL,0.5,46,206,183,36,47,9,1,5,24,5,0,20,57,0.257,0.335,0.399,0.734,103,0.326,97,73,1,2,0,1,2,D/7H,,yelicch01
209,Miguel Andujar,31,SDP,NL,-0.4,58,205,195,18,48,12,2,5,17,2,2,8,34,0.246,0.283,0.405,0.688,90,0.295,83,79,8,2,0,0,2,D/H53,,andujmi01
210,Dominic Canzone,28,SEA,AL,1.5,71,205,182,28,50,12,1,12,33,1,1,18,41,0.275,0.346,0.549,0.896,152,0.383,149,100,1,3,0,2,0,DH9,,canzodo01
211,Jackson Chourio,22,MIL,NL,1.7,44,205,189,31,56,13,0,10,30,5,0,14,50,0.296,0.346,0.524,0.87,137,0.383,138,99,1,1,0,1,1,78/9H,,chourja01
212,Eugenio Suarez,34,CIN,NL,-0.6,52,205,187,16,39,9,0,7,26,0,0,16,68,0.209,0.273,0.369,0.642,75,0.291,74,69,2,1,0,1,0,D5/H,,suareeu01
213,Teoscar Hernández,33,LAD,NL,0.8,51,204,181,30,50,8,0,7,31,2,0,19,55,0.276,0.348,0.436,0.785,119,0.347,117,79,6,2,0,2,1,7/D,,hernate01
214,Brent Rooker,31,ATH,AL,-0.4,48,203,180,20,36,4,0,10,29,2,0,19,65,0.2,0.281,0.389,0.67,80,0.299,76,70,3,2,0,2,1,D/97H,,rookebr01
215,Tyler Freeman,27,COL,NL,-0.5,52,202,175,25,49,5,1,3,22,5,3,9,25,0.28,0.36,0.371,0.732,96,0.334,99,65,10,13,5,0,0,9/4DH8,,freemty01
216,Jeremiah Jackson,26,BAL,AL,0.7,65,202,195,22,49,8,0,7,32,2,1,4,40,0.251,0.267,0.4,0.667,85,0.3,87,78,10,1,0,2,0,*4/HD79,,jacksje02
217,Ryan McMahon,31,NYY,AL,0,69,202,186,19,39,4,0,8,23,3,1,15,62,0.21,0.269,0.36,0.629,74,0.285,73,67,5,0,1,0,0,*5/H6,,mcmahry01
218,Colton Cowser,26,BAL,AL,0.9,71,201,175,26,40,3,0,8,27,2,2,22,58,0.229,0.315,0.383,0.698,96,0.306,92,67,1,1,1,2,0,*89H7/D,,cowseco01
219,Brice Matthews,24,HOU,AL,0.2,70,201,185,19,37,5,1,6,18,2,4,13,66,0.2,0.251,0.335,0.586,62,0.254,57,62,3,0,2,1,0,*784H/5,,matthbr01
220,Will Smith,31,LAD,NL,1.1,52,201,173,23,43,5,0,6,23,0,0,23,34,0.249,0.338,0.382,0.72,102,0.319,99,66,5,2,0,3,0,2/HD,,smithwi05
221,Mookie Betts,33,LAD,NL,1.5,46,200,183,28,42,7,0,9,21,1,2,15,27,0.23,0.29,0.415,0.705,95,0.312,96,76,6,1,0,1,0,6,,bettsmo01
222,Nathan Church,25,STL,NL,1.3,60,199,184,25,49,9,1,5,20,5,2,11,43,0.266,0.312,0.408,0.719,103,0.317,100,75,3,2,0,2,0,*78/H9,,churcna01
223,Nathaniel Lowe,30,CIN,NL,0.6,62,197,172,19,44,11,0,9,25,0,0,25,48,0.256,0.35,0.477,0.827,125,0.369,129,82,1,0,0,0,1,D3H,,lowena01
224,Michael Massey,28,KCR,AL,1.1,63,196,184,24,49,14,0,7,27,2,0,7,32,0.266,0.289,0.457,0.745,107,0.326,104,84,3,0,2,3,0,*4/H759,,massemi02
225,Blaze Alexander,27,BAL,AL,1.2,68,194,174,22,53,12,1,3,23,8,3,12,42,0.305,0.358,0.437,0.795,123,0.356,125,76,5,3,2,1,1,546/87H9,,alexabl01
226,Nick Fortes,29,TBR,AL,-0.3,61,194,179,19,45,10,0,1,15,0,0,5,23,0.251,0.297,0.324,0.621,72,0.276,65,58,6,7,2,1,0,*2H/D,,forteni01
227,Royce Lewis,27,MIN,AL,0.3,48,192,170,19,35,6,0,7,21,5,0,18,53,0.206,0.286,0.365,0.651,79,0.306,82,62,2,2,0,2,0,53/4,,lewisro02
228,Logan O'Hoppe,26,LAA,AL,0.4,56,190,171,19,41,8,0,4,21,0,0,14,46,0.24,0.307,0.357,0.664,87,0.296,85,61,3,3,1,1,0,*2/H,,ohopplo01
229,Javier Sanoja,23,MIA,NL,0.4,64,190,177,14,44,13,0,2,25,3,1,11,20,0.249,0.291,0.356,0.647,83,0.308,93,63,2,0,1,1,0,57/46H198,,sanojja01
230,Dominic Smith,31,ATL,NL,0.5,65,190,172,26,48,5,1,6,31,0,0,11,25,0.279,0.317,0.424,0.742,108,0.337,113,73,4,1,1,5,0,DH/37,,smithdo02
231,Gleyber Torres,29,DET,AL,1.8,43,190,157,26,44,6,0,4,18,0,0,29,33,0.28,0.395,0.395,0.79,120,0.361,125,62,2,2,0,2,1,4/D,,torregl01
232,Ben Williamson,25,TBR,AL,0.6,58,189,170,23,40,8,1,1,19,5,1,17,37,0.235,0.309,0.312,0.62,73,0.285,69,53,6,1,1,0,0,46H/51D,,willibe03
233,Alex Freeland,24,LAD,NL,1.1,58,188,162,20,39,7,0,3,17,1,0,20,52,0.241,0.324,0.34,0.664,87,0.301,85,55,4,1,3,2,0,*4/H6,,freelal01
234,Jake Mangum,30,PIT,NL,0.4,61,188,172,22,50,7,0,1,14,14,4,10,33,0.291,0.335,0.349,0.684,89,0.323,93,60,4,2,3,1,1,*789H,,manguja01
235,Joey Ortiz,27,MIL,NL,0,66,188,162,18,32,5,0,1,15,5,3,20,34,0.198,0.281,0.247,0.528,48,0.242,41,40,4,0,3,3,0,*6/H5D,,ortizjo06
236,Richie Palacios,29,TBR,AL,0.3,57,188,162,23,39,6,2,1,21,7,5,22,37,0.241,0.34,0.321,0.661,85,0.303,88,52,4,3,0,1,0,*4H/579D,,palacri01
237,Jeremy Pena,28,HOU,AL,2,45,188,169,31,49,9,0,6,19,8,1,15,30,0.29,0.356,0.45,0.806,124,0.375,132,76,1,3,0,1,0,6/H,,penaje02
238,Zach McKinstry,31,DET,AL,-0.5,56,186,162,11,29,4,2,2,12,1,3,20,35,0.179,0.266,0.265,0.532,48,0.265,62,43,2,0,2,2,1,469/H58,,mckinza01
239,Victor Scott II,25,STL,NL,-0.6,61,184,155,19,30,4,0,2,9,9,4,16,44,0.194,0.276,0.258,0.534,53,0.247,47,40,3,2,10,1,0,*8/DH,,scottvi01
240,Francisco Alvarez,24,NYM,NL,0.3,51,183,163,17,42,5,0,8,18,0,0,15,44,0.258,0.326,0.436,0.762,111,0.338,112,71,11,2,0,1,0,2/DH,,alvarfr01
241,Kyle Isbel,29,KCR,AL,0.3,56,183,164,16,40,7,1,3,11,5,0,10,41,0.244,0.298,0.354,0.651,84,0.301,83,58,4,3,5,1,0,*8/H,,isbelky01
242,Kerry Carpenter,28,DET,AL,0.1,58,182,160,18,35,4,2,10,29,0,0,15,56,0.219,0.297,0.456,0.753,105,0.324,99,73,1,4,0,3,0,9DH/7,,carpeke01
243,Drew Gilbert,25,SFG,NL,0.2,61,182,159,18,37,8,2,3,15,0,3,17,33,0.233,0.322,0.365,0.687,97,0.304,100,58,4,4,2,0,2,*87H/9,,gilbedr01
244,Austin Wells,26,NYY,AL,-0.3,52,182,158,16,26,2,0,4,8,0,0,23,50,0.165,0.269,0.253,0.522,47,0.241,42,40,5,0,0,1,2,2/H,,wellsau01
245,TJ Friedl,30,CIN,NL,-0.6,47,178,156,15,28,6,0,2,8,5,0,13,42,0.179,0.259,0.256,0.515,42,0.243,33,40,1,4,4,1,0,87/H,,friedtj01
246,José Fernández,22,ARI,NL,-0.2,55,177,165,23,42,7,0,3,15,7,2,7,40,0.255,0.289,0.352,0.641,77,0.301,81,58,2,1,4,0,0,D35H/6,,fernajo06
247,Brady House,23,WSN,NL,0.1,44,177,163,22,37,7,0,7,25,1,0,13,50,0.227,0.282,0.399,0.681,89,0.313,95,65,4,0,0,1,0,5/DH,,housebr01
248,Ty France,31,SDP,NL,1.3,57,176,163,19,41,7,2,9,26,1,1,9,45,0.252,0.297,0.485,0.782,115,0.33,108,79,5,2,0,1,1,*3/H5D,,francty01
249,Vaughn Grissom,25,LAA,AL,0,46,176,153,17,36,10,0,4,30,0,0,15,20,0.235,0.314,0.379,0.693,95,0.311,95,58,7,4,0,3,0,345/HD,,grissva01
250,Heliot Ramos,26,SFG,NL,0.3,44,176,165,19,44,12,1,4,20,0,0,10,47,0.267,0.307,0.424,0.731,107,0.32,105,70,1,0,0,1,1,7/H,,ramoshe02
251,Keibert Ruiz,27,WSN,NL,0.9,52,176,167,22,46,15,0,6,29,2,1,5,24,0.275,0.301,0.473,0.774,114,0.331,108,79,5,2,0,2,0,2/H,,ruizke01
252,Trevor Story,33,BOS,AL,-0.1,41,176,165,16,34,7,0,3,19,4,0,8,57,0.206,0.244,0.303,0.547,55,0.268,62,50,6,1,0,2,0,6/D,,storytr01
253,Moisés Ballesteros,22,CHC,NL,0.3,59,175,156,16,36,6,0,6,23,1,0,17,36,0.231,0.303,0.385,0.687,96,0.305,93,60,1,0,0,2,0,DH/2,,ballemo01
254,Wenceel Pérez,26,DET,AL,-0.7,53,175,161,22,29,4,1,7,17,3,1,14,29,0.18,0.246,0.348,0.594,62,0.263,56,56,1,0,0,0,0,98/H7D,,perezwe01
255,Heriberto Hernández,26,MIA,NL,0.7,52,174,157,17,36,3,1,8,29,5,2,15,43,0.229,0.299,0.414,0.713,100,0.323,104,65,0,1,0,1,0,7H/9D,,hernahe01
256,Masataka Yoshida,32,BOS,AL,-0.2,53,173,152,16,36,7,1,1,10,2,0,17,21,0.237,0.324,0.316,0.639,83,0.296,83,48,1,3,0,1,0,DH/7,,yoshima02
257,Edgar Quero,23,CHW,AL,-0.9,55,172,150,12,28,1,0,2,15,1,0,12,41,0.187,0.253,0.233,0.486,38,0.228,33,35,5,3,2,5,0,2H/D,,queroed01
258,Christian Vázquez,35,HOU,AL,0.4,54,171,155,16,33,6,0,4,19,0,0,13,28,0.213,0.274,0.329,0.603,68,0.268,61,51,1,0,3,0,1,2/HD,,vazquch01
259,Mickey Moniak,28,COL,NL,0.9,46,170,156,22,44,9,2,12,28,1,0,10,43,0.282,0.335,0.596,0.931,141,0.394,139,93,3,3,0,1,0,789D/H,,moniami01
260,Wyatt Langford,24,TEX,AL,1.6,39,168,157,22,42,7,2,8,20,5,0,10,37,0.268,0.315,0.49,0.806,132,0.354,129,77,3,1,0,0,0,78/D,,langfwy01
261,Jorbit Vivas,25,WSN,NL,0,59,168,145,20,37,7,0,3,14,0,1,14,22,0.255,0.333,0.366,0.699,97,0.316,100,53,3,4,2,2,0,54H/D1,,vivasjo01
262,Brandon Valenzuela,25,TOR,AL,1.3,51,164,144,17,36,6,0,7,19,1,0,18,40,0.25,0.331,0.438,0.769,108,0.338,104,63,1,0,1,1,0,2/H,,valenbr01
263,Jared Triolo,28,PIT,NL,0.1,48,162,145,14,33,6,0,0,9,5,1,13,39,0.228,0.3,0.269,0.569,59,0.291,72,39,4,2,1,0,0,65/39HD,,triolja01
264,Patrick Bailey,27,2TM,2LG,0,54,162,149,13,27,3,1,2,12,2,0,12,41,0.181,0.241,0.255,0.496,41,0.233,39,38,5,0,0,1,0,2/H,,bailepa01
265,Patrick Bailey,27,SFG,NL,-0.3,30,89,82,5,12,0,0,1,5,2,0,7,22,0.146,0.213,0.183,0.396,15,0.192,9,15,3,0,0,0,0,2,,bailepa01
266,Patrick Bailey,27,CLE,AL,0.3,24,73,67,8,15,3,1,1,7,0,0,5,19,0.224,0.274,0.343,0.617,73,0.284,75,23,2,0,0,1,0,2/H,,bailepa01
267,AJ Ewing,21,NYM,NL,1.2,41,159,138,16,36,7,1,3,15,8,3,18,41,0.261,0.344,0.391,0.735,106,0.336,109,54,1,0,2,1,0,8/H,,ewingaj01
268,Nathan Lukes,31,TOR,AL,0.9,47,159,145,17,43,8,0,3,15,0,1,7,26,0.297,0.344,0.414,0.758,106,0.339,109,60,6,4,2,1,0,978/H,,lukesna01
269,Nick Loftin,27,KCR,AL,0.2,46,158,133,21,33,12,1,3,24,1,0,17,20,0.248,0.344,0.421,0.765,115,0.344,117,56,2,4,1,3,0,45/H367,,loftini01
270,Dalton Rushing,25,LAD,NL,1.1,47,157,139,21,34,7,0,8,22,0,0,14,43,0.245,0.331,0.468,0.799,121,0.354,123,65,2,4,0,0,0,2/H3D,,rushida01
271,José Tena,25,WSN,NL,-0.4,60,157,145,20,32,8,2,3,16,2,0,11,52,0.221,0.28,0.366,0.646,80,0.289,76,53,5,1,0,0,0,DH/4795,,tenajo01
272,Bryce Eldridge,21,SFG,NL,0.8,39,156,133,21,37,9,0,6,16,0,0,22,34,0.278,0.378,0.481,0.859,145,0.371,141,64,0,0,0,1,1,D3/H,,eldribr01
273,Henry Davis,26,PIT,NL,0.2,51,155,135,16,20,5,0,6,19,2,1,14,32,0.148,0.247,0.319,0.565,55,0.26,53,43,3,4,1,1,0,2/HD,,davishe01
274,Blake Dunn,27,CIN,NL,1,37,152,140,20,39,7,1,2,6,6,3,10,32,0.279,0.336,0.386,0.721,98,0.321,96,54,2,2,0,0,0,89/H7D,,dunnbl01
275,Adrian Del Castillo,26,ARI,NL,-0.5,47,150,137,11,26,4,0,4,20,0,0,12,44,0.19,0.253,0.307,0.56,55,0.264,57,42,5,0,0,1,0,D2/H31,,delcaad01
276,Tristan Gray,30,MIN,AL,-0.5,52,150,137,14,34,5,0,4,28,2,0,8,46,0.248,0.289,0.372,0.661,82,0.293,75,51,1,1,1,3,0,65/H43,,graytr01
